,index,x,y,z,SegmentationRegionSlice
211,100,-239.53125,-239.53125,-1195.5,AOI
212,231,-239.53125,-239.53125,-1194.0,AOI
213,238,-239.53125,-239.53125,-1192.5,AOI
214,171,-239.53125,-239.53125,-1191.0,AOI
215,164,-239.53125,-239.53125,-1189.5,AOI
216,907,-239.53125,-239.53125,-1188.0,AOI
217,950,-239.53125,-239.53125,-1186.5,AOI
218,59,-239.53125,-239.53125,-1185.0,AOI
219,6,-239.53125,-239.53125,-1183.5,AOI
220,73,-239.53125,-239.53125,-1182.0,AOI
221,126,-239.53125,-239.53125,-1180.5,AOI
222,210,-239.53125,-239.53125,-1179.0,AOI
223,259,-239.53125,-239.53125,-1177.5,AOI
224,192,-239.53125,-239.53125,-1176.0,AOI
225,143,-239.53125,-239.53125,-1174.5,AOI
226,889,-239.53125,-239.53125,-1173.0,AOI
227,850,-239.53125,-239.53125,-1171.5,AOI
228,211,-239.53125,-239.53125,-1170.0,AOI
229,258,-239.53125,-239.53125,-1168.5,AOI
230,194,-239.53125,-239.53125,-1167.0,AOI
231,141,-239.53125,-239.53125,-1165.5,AOI
232,58,-239.53125,-239.53125,-1164.0,AOI
233,7,-239.53125,-239.53125,-1162.5,AOI
234,72,-239.53125,-239.53125,-1161.0,AOI
235,127,-239.53125,-239.53125,-1159.5,AOI
236,267,-239.53125,-239.53125,-1158.0,AOI
237,202,-239.53125,-239.53125,-1156.5,AOI
238,843,-239.53125,-239.53125,-1155.0,AOI
239,897,-239.53125,-239.53125,-1153.5,AOI
240,838,-239.53125,-239.53125,-1152.0,AOI
241,784,-239.53125,-239.53125,-1150.5,AOI
242,952,-239.53125,-239.53125,-1149.0,AOI
243,904,-239.53125,-239.53125,-1147.5,AOI
244,963,-239.53125,-239.53125,-1146.0,AOI
245,1011,-239.53125,-239.53125,-1144.5,AOI
246,5,-239.53125,-239.53125,-1143.0,AOI
247,60,-239.53125,-239.53125,-1141.5,AOI
248,955,-239.53125,-239.53125,-1140.0,AOI
249,903,-239.53125,-239.53125,-1138.5,AOI
250,964,-239.53125,-239.53125,-1137.0,AOI
251,1008,-239.53125,-239.53125,-1135.5,AOI
252,840,-239.53125,-239.53125,-1134.0,Outside of AOI
253,898,-239.53125,-239.53125,-1132.5,AOI
254,837,-239.53125,-239.53125,-1131.0,AOI
255,787,-239.53125,-239.53125,-1129.5,AOI
256,960,-239.53125,-239.53125,-1128.0,AOI
257,1013,-239.53125,-239.53125,-1126.5,Outside of AOI
258,131,-239.53125,-239.53125,-1125.0,AOI
